id,title,director,year,rating,genre,douban_url,cover_url
77,沉默的羔羊,乔纳森·戴米 Jonathan Demme主演,1991,8.9,剧情/惊悚/犯罪,https://movie.douban.com/subject/1293544/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1593414327.jpg
78,小鞋子,马基德·马基迪 Majid Majidi主演,1997,9.2,剧情/家庭/儿童,https://movie.douban.com/subject/1303021/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2165511465.jpg
79,飞越疯人院,米洛斯·福尔曼 Miloš Forman主演,1975,9.1,剧情,https://movie.douban.com/subject/1292224/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p792238287.jpg
80,布达佩斯大饭店,韦斯·安德森 Wes Anderson主演,2014,8.9,剧情/喜剧/冒险,https://movie.douban.com/subject/11525673/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2183539003.jpg
81,蝴蝶效应,埃里克·布雷斯 Eric Bress,2004,8.9,剧情/科幻/悬疑/惊悚,https://movie.douban.com/subject/1292343/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2209066019.jpg
82,禁闭岛,Martin Scorsese主演,2010,8.9,剧情/悬疑/惊悚,https://movie.douban.com/subject/2334904/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p450262388.jpg
83,致命魔术,克里斯托弗·诺兰 Christopher Nolan主演,2006,8.9,剧情/悬疑/惊悚,https://movie.douban.com/subject/1780330/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p480383375.jpg
84,心灵捕手,格斯·范·桑特 Gus Van Sant主演,1997,9.0,剧情,https://movie.douban.com/subject/1292656/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p480965695.jpg
85,低俗小说,昆汀·塔伦蒂诺 Quentin Tarantino主演,1994,8.9,剧情/喜剧/犯罪,https://movie.douban.com/subject/1291832/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1910902213.jpg
86,超脱,托尼·凯耶 Tony Kaye主演,2011,9.0,剧情,https://movie.douban.com/subject/5322596/,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p1305562621.jpg
87,哈利·波特与密室,Chris Columbus主演,2002,8.9,奇幻/冒险,https://movie.douban.com/subject/1296996/,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2913781951.jpg
88,摩登时代,查理·卓别林 Charles Chaplin主演,1936,9.3,剧情/喜剧/爱情,https://movie.douban.com/subject/1294371/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2263408369.jpg
89,喜剧之王,周星驰 Stephen Chow,1999,8.8,剧情/喜剧/爱情,https://movie.douban.com/subject/1302425/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2579932167.jpg
90,杀人回忆,奉俊昊 Joon-ho Bong主演,2003,8.9,剧情/动作/悬疑/惊悚/犯罪,https://movie.douban.com/subject/1300299/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1633113220.jpg
91,致命ID,詹姆斯·曼高德 James Mangold主演,2003,8.9,剧情/悬疑/惊悚,https://movie.douban.com/subject/1297192/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2558364386.jpg
92,春光乍泄,王家卫 Kar Wai Wong主演,1997,9.0,剧情/爱情/同性,https://movie.douban.com/subject/1292679/,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p465939041.jpg
93,一一,杨德昌 Edward Yang主演,2000,9.1,剧情/爱情/家庭,https://movie.douban.com/subject/1292434/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2567845803.jpg
94,海豚湾,路易·西霍尤斯 Louie Psihoyos主演,2009,9.3,纪录片,https://movie.douban.com/subject/3442220/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2559579779.jpg
95,美国往事,赛尔乔·莱翁内 Sergio Leone主演,1984,9.1,剧情/犯罪,https://movie.douban.com/subject/1292262/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p477229647.jpg
96,加勒比海盗,戈尔·维宾斯基 Gore Verbinski主演,2003,8.8,动作/奇幻/冒险,https://movie.douban.com/subject/1298070/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1596085504.jpg
97,红辣椒,今敏 Satoshi Kon主演,2006,9.0,科幻/动画/悬疑/惊悚,https://movie.douban.com/subject/1865703/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2794776839.jpg
98,七宗罪,大卫·芬奇 David Fincher主演,1995,8.8,剧情/悬疑/惊悚/犯罪,https://movie.douban.com/subject/1292223/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2219586434.jpg
99,唐伯虎点秋香,李力持 Lik-Chi Lee主演,1993,8.7,喜剧/爱情/古装,https://movie.douban.com/subject/1306249/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2357915564.jpg
100,还有明天,宝拉·柯特莱西 Paola Cortellesi主演,2023,9.4,剧情/喜剧/历史,https://movie.douban.com/subject/36445098/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2918279456.jpg
